Lat;Lon;LOS_ASC
-8.13125;112.28958;2.3558
-8.13125;112.28958;2.1527
-8.13042;112.28958;2.4675
-8.12958;112.28875;1.9863
-8.12875;112.28875;2.3589
-8.12625;112.28875;1.9435
-8.12625;112.28875;1.936
-8.12542;112.28792;1.9618
-8.12458;112.28792;1.9321
-8.12375;112.28792;2.1519
-8.12375;112.28792;1.8669
-8.29375;112.32792;2.2419
-8.29375;112.32792;2.0531
-8.28125;112.32542;2.6088
-8.27375;112.32375;2.513
-8.27125;112.32292;2.9958
-8.27042;112.32292;3.869
-8.26875;112.32208;3.4507
-8.26792;112.32208;3.6492
-8.26208;112.32125;2.5547
-8.26208;112.32125;3.0652
-8.26042;112.32042;2.7834
-8.25625;112.31958;2.552
-8.22542;112.31125;1.8736
-8.22208;112.31042;1.1869
-8.18708;112.30292;2.6368
-8.18625;112.30292;2.3311
-8.18625;112.30208;2.1227
-8.17875;112.30125;1.4147
-8.16708;112.29792;1.1201
-8.16708;112.29792;2.235
-8.15792;112.29625;1.4339
-8.15708;112.29625;1.0164
-8.14792;112.29375;1.3536
-8.14708;112.29375;1.7899
-8.14625;112.29375;1.6353
-8.14458;112.29292;2.0215
-8.13542;112.29125;2.4486
-8.13458;112.29125;2.2284
-8.13125;112.29042;2.4401
-8.13042;112.29042;2.2171
-8.13042;112.29042;2.0995
-8.12875;112.28958;1.5651
-8.12792;112.28958;1.7391
-8.12542;112.28875;1.9999
-8.12458;112.28875;1.6842
-8.12375;112.28875;2.0292
-8.12292;112.28875;2.0973
-8.12292;112.28875;2.0946
-8.29292;112.32875;2.2939
-8.27792;112.32542;2.625
-8.27292;112.32375;3.8739
-8.26875;112.32292;3.2424
-8.26875;112.32292;3.3132
-8.26792;112.32292;3.3186
-8.26708;112.32292;3.3094
-8.26542;112.32292;3.0188
-8.26458;112.32292;2.5477
-8.26292;112.32208;2.5907
-8.22542;112.31208;1.848
-8.17875;112.30208;1.8373
-8.16792;112.29875;1.878
-8.16708;112.29875;1.8644
-8.15708;112.29708;1.5387
-8.15125;112.29542;1.4935
-8.15042;112.29542;1.4796
-8.14875;112.29458;1.7441
-8.14792;112.29458;1.4232
-8.14708;112.29458;1.4659
-8.14708;112.29458;1.3361
-8.14542;112.29375;1.8916
-8.14458;112.29375;1.7289
-8.13375;112.29125;2.2457
-8.13292;112.29125;2.0384
-8.13208;112.29125;1.8028
-8.13208;112.29125;1.9331
-8.12792;112.29042;1.7529
-8.12708;112.29042;1.81
-8.12708;112.29042;1.7022
-8.12542;112.28958;1.784
-8.12458;112.28958;2.0458
-8.12458;112.28958;2.0164
-8.12375;112.28958;2.0128
-8.12292;112.28958;2.1022
-8.29208;112.32958;2.2122
-8.28875;112.32875;2.696
-8.28125;112.32708;2.7284
-8.26875;112.32375;3.3525
-8.26792;112.32375;3.4262
-8.26792;112.32375;3.7227
-8.26708;112.32375;3.29
-8.26125;112.32292;3.1764
-8.25708;112.32125;2.6781
-8.23125;112.31458;2.0526
-8.22542;112.31292;1.797
-8.21292;112.31042;1.1163
-8.21208;112.31042;0.9603
-8.17958;112.30208;1.8357
-8.17875;112.30208;2.068
-8.17708;112.30208;2.1395
-8.17625;112.30208;2.3466
-8.16792;112.29958;2.8627
-8.16792;112.29958;1.842
-8.15708;112.29708;1.3735
-8.14792;112.29542;1.6356
-8.14708;112.29542;1.5322
-8.14458;112.29458;1.6714
-8.14375;112.29458;1.8144
-8.13792;112.29375;2.2365
-8.13708;112.29292;2.0405
-8.13375;112.29208;2.2255
-8.13292;112.29208;2.17
-8.13208;112.29208;2.1561
-8.13125;112.29208;1.9204
-8.12375;112.29042;1.9589
-8.12375;112.29042;1.6483
-8.12292;112.29042;2.193
-8.29125;112.32958;3.251
-8.26875;112.32458;3.1691
-8.25708;112.32208;3.1985
-8.22542;112.31375;1.8017
-8.22458;112.31375;1.8361
-8.21208;112.31125;1.1636
-8.19042;112.30625;2.1927
-8.17708;112.30292;1.9096
-8.17708;112.30292;2.1581
-8.17625;112.30292;2.0781
-8.17542;112.30292;2.247
-8.17458;112.30208;2.2947
-8.16958;112.30125;2.4693
-8.16958;112.30125;1.7691
-8.16792;112.30042;1.7249
-8.16208;112.29958;1.5244
-8.14792;112.29625;1.7944
-8.13792;112.29458;1.5148
-8.13792;112.29458;1.9012
-8.13708;112.29375;1.8582
-8.13625;112.29375;1.3903
-8.13375;112.29375;2.244
-8.13292;112.29292;1.0498
-8.13292;112.29292;1.9318
-8.13208;112.29292;2.2715
-8.13125;112.29292;2.1545
-8.13042;112.29292;1.9557
-8.13042;112.29292;1.918
-8.34208;112.33708;0.7101
-8.34125;112.33708;0.789
-8.34125;112.33708;0.6711
-8.29042;112.33042;2.6295
-8.28708;112.32958;2.567
-8.26958;112.32625;3.397
-8.26958;112.32542;3.6234
-8.26875;112.32542;2.8119
-8.25708;112.32375;3.2031
-8.25708;112.32292;3.5678
-8.25458;112.32292;2.9455
-8.24375;112.31958;1.9427
-8.24375;112.31875;2.5707
-8.23292;112.31625;1.3521
-8.22542;112.31458;1.651
-8.21125;112.31208;1.2215
-8.19042;112.30708;1.8913
-8.19042;112.30708;1.9178
-8.18125;112.30458;1.6058
-8.18125;112.30458;1.9
-8.17375;112.30292;2.1102
-8.17292;112.30292;2.2472
-8.17208;112.30292;1.8829
-8.17042;112.30208;2.0051
-8.16875;112.30208;2.0887
-8.16792;112.30125;2.0914
-8.16292;112.30042;1.8991
-8.16208;112.30042;1.1948
-8.15458;112.29875;0.9946
-8.15458;112.29875;2.163
-8.13708;112.29458;1.7561
-8.13542;112.29458;2.0322
-8.13458;112.29458;2.0077
-8.13458;112.29458;2.1635
-8.13375;112.29458;2.0231
-8.13292;112.29375;1.6129
-8.13125;112.29375;2.1129
-8.13042;112.29375;2.0808
-8.12958;112.29292;1.6751
-8.28875;112.33125;2.4783
-8.28792;112.33125;1.754
-8.28708;112.33042;2.3018
-8.28458;112.33042;2.4675
-8.27458;112.32792;3.1135
-8.27042;112.32708;3.1472
-8.26958;112.32708;3.246
-8.26875;112.32625;3.415
-8.26875;112.32625;3.3888
-8.26792;112.32625;3.5374
-8.26708;112.32625;3.4817
-8.25708;112.32458;3.0914
-8.25292;112.32292;2.7895
-8.25208;112.32292;2.7009
-8.24375;112.32042;1.9119
-8.23292;112.31708;2.0165
-8.22542;112.31542;1.6548
-8.22458;112.31542;0.9338
-8.22375;112.31542;1.1615
-8.21125;112.31292;1.5056
-8.21125;112.31292;1.2708
-8.18542;112.30708;2.2237
-8.18208;112.30625;1.7571
-8.18125;112.30542;1.8594
-8.17292;112.30375;2.3098
-8.17292;112.30375;2.0716
-8.17208;112.30292;1.794
-8.17125;112.30292;2.1375
-8.17125;112.30292;2.096
-8.16458;112.30125;2.075
-8.16375;112.30125;1.5112
-8.16375;112.30125;1.8694
-8.16292;112.30125;1.6795
-8.16125;112.30042;1.3034
-8.16042;112.30042;0.934
-8.15458;112.29958;1.454
-8.15375;112.29958;1.3922
-8.15292;112.29875;1.0753
-8.13958;112.29625;1.5642
-8.13875;112.29625;1.7177
-8.13792;112.29625;1.9159
-8.13708;112.29542;1.8136
-8.13625;112.29542;1.2253
-8.13625;112.29542;1.8018
-8.13542;112.29542;1.7819
-8.13458;112.29542;1.9383
-8.13292;112.29458;2.1372
-8.13208;112.29458;2.0465
