Lat;Lon;alfa
-8.14625;112.29208;-167.9876
-8.14625;112.29125;-167.9876
-8.14458;112.29125;-167.9876
-8.14375;112.29125;-167.9876
-8.14208;112.29125;-167.9876
-8.14125;112.29042;-167.9876
-8.13625;112.28958;-167.9876
-8.13625;112.28958;-167.9876
-8.13125;112.28875;-167.9876
-8.13042;112.28875;-167.9876
-8.12958;112.28792;-167.9876
-8.12958;112.28792;-167.9876
-8.12708;112.28792;-167.9876
-8.12708;112.28792;-167.9876
-8.12625;112.28792;-167.9876
-8.12458;112.28708;-167.9876
-8.28125;112.32458;-167.9876
-8.27625;112.32292;-167.9876
-8.27542;112.32292;-167.9876
-8.27458;112.32292;-167.9876
-8.27375;112.32292;-167.9876
-8.26958;112.32208;-167.9876
-8.26875;112.32125;-167.9876
-8.26792;112.32125;-167.9876
-8.26708;112.32125;-167.9876
-8.26625;112.32125;-167.9876
-8.26458;112.32042;-167.9876
-8.26208;112.32042;-167.9876
-8.26125;112.32042;-167.9876
-8.26042;112.31958;-167.9876
-8.25625;112.31875;-167.9876
-8.23708;112.31292;-167.9876
-8.22542;112.31042;-167.9876
-8.22542;112.31042;-167.9876
-8.22458;112.31042;-167.9876
-8.18625;112.30125;-167.9876
-8.18542;112.30125;-167.9876
-8.16042;112.29542;-167.9876
-8.16042;112.29542;-167.9876
-8.15958;112.29542;-167.9876
-8.15875;112.29542;-167.9876
-8.15792;112.29542;-167.9876
-8.15792;112.29542;-167.9876
-8.15708;112.29458;-167.9876
-8.14708;112.29292;-167.9876
-8.14375;112.29208;-167.9876
-8.14375;112.29208;-167.9876
-8.14125;112.29125;-167.9876
-8.13625;112.29042;-167.9876
-8.13542;112.29042;-167.9876
-8.13125;112.28958;-167.9876
-8.13125;112.28958;-167.9876
-8.13042;112.28958;-167.9876
-8.12958;112.28875;-167.9876
-8.12875;112.28875;-167.9876
-8.12625;112.28875;-167.9876
-8.12625;112.28875;-167.9876
-8.12542;112.28792;-167.9876
-8.12458;112.28792;-167.9876
-8.12375;112.28792;-167.9876
-8.12375;112.28792;-167.9876
-8.29375;112.32792;-167.9876
-8.29375;112.32792;-167.9876
-8.28125;112.32542;-167.9876
-8.27375;112.32375;-167.9876
-8.27125;112.32292;-167.9876
-8.27042;112.32292;-167.9876
-8.26875;112.32208;-167.9876
-8.26792;112.32208;-167.9876
-8.26208;112.32125;-167.9876
-8.26208;112.32125;-167.9876
-8.26042;112.32042;-167.9876
-8.25625;112.31958;-167.9876
-8.22542;112.31125;-167.9876
-8.22208;112.31042;-167.9876
-8.18708;112.30292;-167.9876
-8.18625;112.30292;-167.9876
-8.18625;112.30208;-167.9876
-8.17875;112.30125;-167.9876
-8.16708;112.29792;-167.9876
-8.16708;112.29792;-167.9876
-8.15792;112.29625;-167.9876
-8.15708;112.29625;-167.9876
-8.14792;112.29375;-167.9876
-8.14708;112.29375;-167.9876
-8.14625;112.29375;-167.9876
-8.14458;112.29292;-167.9876
-8.13542;112.29125;-167.9876
-8.13458;112.29125;-167.9876
-8.13125;112.29042;-167.9876
-8.13042;112.29042;-167.9876
-8.13042;112.29042;-167.9876
-8.12875;112.28958;-167.9876
-8.12792;112.28958;-167.9876
-8.12542;112.28875;-167.9876
-8.12458;112.28875;-167.9876
-8.12375;112.28875;-167.9876
-8.12292;112.28875;-167.9876
-8.12292;112.28875;-167.9876
-8.29292;112.32875;-167.9876
-8.27792;112.32542;-167.9876
-8.27292;112.32375;-167.9876
-8.26875;112.32292;-167.9876
-8.26875;112.32292;-167.9876
-8.26792;112.32292;-167.9876
-8.26708;112.32292;-167.9876
-8.26542;112.32292;-167.9876
-8.26458;112.32292;-167.9876
-8.26292;112.32208;-167.9876
-8.22542;112.31208;-167.9876
-8.17875;112.30208;-167.9876
-8.16792;112.29875;-167.9876
-8.16708;112.29875;-167.9876
-8.15708;112.29708;-167.9876
-8.15125;112.29542;-167.9876
-8.15042;112.29542;-167.9876
-8.14875;112.29458;-167.9876
-8.14792;112.29458;-167.9876
-8.14708;112.29458;-167.9876
-8.14708;112.29458;-167.9876
-8.14542;112.29375;-167.9876
-8.14458;112.29375;-167.9876
-8.13375;112.29125;-167.9876
-8.13292;112.29125;-167.9876
-8.13208;112.29125;-167.9876
-8.13208;112.29125;-167.9876
-8.12792;112.29042;-167.9876
-8.12708;112.29042;-167.9876
-8.12708;112.29042;-167.9876
-8.12542;112.28958;-167.9876
-8.12458;112.28958;-167.9876
-8.12458;112.28958;-167.9876
-8.12375;112.28958;-167.9876
-8.12292;112.28958;-167.9876
-8.29208;112.32958;-167.9876
-8.28875;112.32875;-167.9876
-8.28125;112.32708;-167.9876
-8.26875;112.32375;-167.9876
-8.26792;112.32375;-167.9876
-8.26792;112.32375;-167.9876
-8.26708;112.32375;-167.9876
-8.26125;112.32292;-167.9876
-8.25708;112.32125;-167.9876
-8.23125;112.31458;-167.9876
-8.22542;112.31292;-167.9876
-8.21292;112.31042;-167.9876
-8.21208;112.31042;-167.9876
-8.17958;112.30208;-167.9876
-8.17875;112.30208;-167.9876
-8.17708;112.30208;-167.9876
-8.17625;112.30208;-167.9876
-8.16792;112.29958;-167.9876
-8.16792;112.29958;-167.9876
-8.15708;112.29708;-167.9876
-8.14792;112.29542;-167.9876
-8.14708;112.29542;-167.9876
-8.14458;112.29458;-167.9876
-8.14375;112.29458;-167.9876
-8.13792;112.29375;-167.9876
-8.13708;112.29292;-167.9876
-8.13375;112.29208;-167.9876
-8.13292;112.29208;-167.9876
-8.13208;112.29208;-167.9876
-8.13125;112.29208;-167.9876
-8.12375;112.29042;-167.9876
-8.12375;112.29042;-167.9876
-8.12292;112.29042;-167.9876
-8.29125;112.32958;-167.9876
-8.26875;112.32458;-167.9876
-8.25708;112.32208;-167.9876
-8.22542;112.31375;-167.9876
-8.22458;112.31375;-167.9876
-8.21208;112.31125;-167.9876
-8.19042;112.30625;-167.9876
-8.17708;112.30292;-167.9876
-8.17708;112.30292;-167.9876
-8.17625;112.30292;-167.9876
-8.17542;112.30292;-167.9876
-8.17458;112.30208;-167.9876
-8.16958;112.30125;-167.9876
-8.16958;112.30125;-167.9876
-8.16792;112.30042;-167.9876
-8.16208;112.29958;-167.9876
-8.14792;112.29625;-167.9876
-8.13792;112.29458;-167.9876
-8.13792;112.29458;-167.9876
-8.13708;112.29375;-167.9876
-8.13625;112.29375;-167.9876
-8.13375;112.29375;-167.9876
-8.13292;112.29292;-167.9876
-8.13292;112.29292;-167.9876
-8.13208;112.29292;-167.9876
-8.13125;112.29292;-167.9876
-8.13042;112.29292;-167.9876
-8.13042;112.29292;-167.9876
