Lat;Lon;LOS_DES
-8.14792;112.29458;-0.1024
-8.14708;112.29458;-0.2889
-8.14708;112.29458;-0.2889
-8.14542;112.29375;-0.4018
-8.14458;112.29375;0.3378
-8.13375;112.29125;-1.3051
-8.13292;112.29125;-0.3259
-8.13208;112.29125;-0.6458
-8.13208;112.29125;-0.6458
-8.12792;112.29042;-1.0212
-8.12708;112.29042;-0.7253
-8.12708;112.29042;-0.7253
-8.12542;112.28958;-0.9567
-8.12458;112.28958;-0.327
-8.12458;112.28958;-0.327
-8.12375;112.28958;0.1171
-8.12292;112.28958;-0.1533
-8.29208;112.32958;-1.748
-8.28875;112.32875;-1.5072
-8.28125;112.32708;-2.2757
-8.26875;112.32375;-0.9178
-8.26792;112.32375;0.2004
-8.26792;112.32375;0.2004
-8.26708;112.32375;-0.9437
-8.26125;112.32292;-1.5953
-8.25708;112.32125;-2.2107
-8.23125;112.31458;-0.534
-8.22542;112.31292;-1.1774
-8.21292;112.31042;-1.2797
-8.21208;112.31042;-1.6546
-8.17958;112.30208;-0.3402
-8.17875;112.30208;-0.1232
-8.17708;112.30208;-0.1234
-8.17625;112.30208;0.0721
-8.16792;112.29958;-0.6523
-8.16792;112.29958;-0.6523
-8.15708;112.29708;-0.3539
-8.14792;112.29542;-0.686
-8.14708;112.29542;-0.1025
-8.14458;112.29458;-0.193
-8.14375;112.29458;-0.3975
-8.13792;112.29375;-0.4061
-8.13708;112.29292;-0.52
-8.13375;112.29208;-0.0173
-8.13292;112.29208;-0.4164
-8.13208;112.29208;-0.1836
-8.13125;112.29208;-0.1403
-8.12375;112.29042;-0.1929
-8.12375;112.29042;-0.1929
-8.12292;112.29042;-0.0499
-8.29125;112.32958;-1.9899
-8.26875;112.32458;-1.4963
-8.25708;112.32208;-1.8315
-8.22542;112.31375;-1.3034
-8.22458;112.31375;-0.7291
-8.21208;112.31125;-1.2736
-8.19042;112.30625;-1.0245
-8.17708;112.30292;0.0867
-8.17708;112.30292;0.0867
-8.17625;112.30292;-0.1643
-8.17542;112.30292;-0.2889
-8.17458;112.30208;-0.1998
-8.16958;112.30125;-0.5603
-8.16958;112.30125;-0.5603
-8.16792;112.30042;-1.4299
-8.16208;112.29958;-0.4974
-8.14792;112.29625;0.1411
-8.13792;112.29458;-0.6515
-8.13792;112.29458;-0.6515
-8.13708;112.29375;-0.8128
-8.13625;112.29375;-0.2898
-8.13375;112.29375;0.4162
-8.13292;112.29292;-0.6448
-8.13292;112.29292;-0.6448
-8.13208;112.29292;-0.3552
-8.13125;112.29292;-0.5365
-8.13042;112.29292;-0.5179
-8.13042;112.29292;-0.5179
-8.34208;112.33708;-0.5956
-8.34125;112.33708;0.6773
-8.34125;112.33708;0.6773
-8.29042;112.33042;-1.8402
